batsman,total_runs,balls_faced,strike_rate
SK Raina,4540,3264,139.09
V Kohli,4418,3403,129.83
RG Sharma,4207,3214,130.9
G Gambhir,4132,3316,124.61
DA Warner,4014,2824,142.14
RV Uthappa,3778,2870,131.64
CH Gayle,3626,2398,151.21
S Dhawan,3561,2922,121.87
MS Dhoni,3560,2604,136.71
AB de Villiers,3473,2344,148.17
AM Rahane,3057,2535,120.59
YK Pathan,2904,1996,145.49
KD Karthik,2903,2305,125.94
BB McCullum,2753,2098,131.22
V Sehwag,2728,1755,155.44
SR Watson,2622,1891,138.66
Yuvraj Singh,2587,1972,131.19
M Vijay,2511,2035,123.39
SE Marsh,2477,1866,132.74
JH Kallis,2427,2222,109.23
