batsman,fours,sixes,total_boundaries,boundary_runs
SK Raina,402,173,575,2646
DA Warner,401,160,561,2564
CH Gayle,294,265,559,2766
V Kohli,383,160,543,2492
G Gambhir,484,58,542,2284
RG Sharma,354,173,527,2454
RV Uthappa,377,125,502,2258
S Dhawan,401,71,472,2030
AB de Villiers,287,156,443,2084
V Sehwag,334,106,440,1972
MS Dhoni,251,156,407,1940
BB McCullum,277,124,401,1852
YK Pathan,239,147,386,1838
AM Rahane,320,60,380,1640
SR Watson,257,122,379,1760
DR Smith,245,117,362,1682
KD Karthik,286,71,357,1570
Yuvraj Singh,204,141,345,1662
SE Marsh,266,78,344,1532
PA Patel,297,35,332,1398
