bowling_team,total_wides,total_no_balls,total_byes,total_leg_byes,total_extras,total_balls_bowled,extras_per_100_balls
Gujarat Lions,107,7,10,64,188,3540,5.31
Sunrisers Hyderabad,268,22,29,168,487,8882,5.48
Rising Pune Supergiant,69,1,3,38,111,1928,5.76
Pune Warriors,174,26,38,97,335,5457,6.14
Chennai Super Kings,526,56,59,361,1002,15558,6.44
Rising Pune Supergiants,77,4,3,24,108,1615,6.69
Kochi Tuskers Kerala,56,8,5,41,110,1614,6.82
Kolkata Knight Riders,658,66,98,382,1204,17401,6.92
Delhi Daredevils,614,88,76,409,1187,17093,6.94
Kings XI Punjab,668,86,83,392,1229,17383,7.07
Deccan Chargers,328,49,62,215,659,9039,7.29
Royal Challengers Bangalore,725,77,105,401,1308,17907,7.3
Mumbai Indians,785,95,95,413,1393,18871,7.38
Rajasthan Royals,585,64,68,337,1054,14091,7.48
