bowler,legal_balls,overs_bowled,runs_conceded,economy_rate,wickets
SP Narine,1927,321.2,2033,6.33,95
R Ashwin,2292,382.0,2464,6.45,97
DW Steyn,2065,344.2,2255,6.55,92
A Kumble,970,161.7,1063,6.58,45
M Muralitharan,1526,254.3,1693,6.66,63
SL Malinga,2574,429.0,2886,6.73,154
DL Vettori,777,129.5,886,6.84,28
Harbhajan Singh,2922,487.0,3366,6.91,123
J Botha,694,115.7,799,6.91,25
B Kumar,1986,331.0,2320,7.01,111
S Nadeem,1116,186.0,1309,7.04,37
R Sharma,928,154.7,1093,7.07,40
JP Duminy,660,110.0,779,7.08,23
DP Nannes,650,108.3,768,7.09,28
Shakib Al Hasan,921,153.5,1094,7.13,43
M Kartik,1154,192.3,1376,7.15,31
SK Warne,1194,199.0,1426,7.17,56
Iqbal Abdulla,920,153.3,1099,7.17,40
YK Pathan,1129,188.2,1378,7.32,40
A Mishra,2659,443.2,3255,7.34,134
